,name,name2,position
23,Ante Budimir,ante budimir,FW
24,Rubén García,ruben garcía,FW
25,Sandro Ramírez,sandro ramirez,FW
26,Brais Méndez,brais mendez,FW
27,Álvaro Negredo,alvaro negredo,FW
28,João Félix,joao felix,FW
29,Rafa Mir,rafa mir,FW
30,José Luis Morales,jose luis morales,FW
31,Lucas Boyé,lucas boye,FW
32,Manu Trigueros,manu trigueros,FW
33,Guido Carrillo,guido carrillo,FW
34,Iñaki Williams,inaki williams,FW
35,Gonzalo Melero,gonzalo melero,FW
36,Joaquín,joaquin,FW
37,Jonathan Calleri,jonathan calleri,FW
38,Lucas Pérez,lucas perez,FW
39,Vinícius Júnior,vinicius junior,FW
40,Óscar Plano,oscar plano,FW
41,Lee Kang-In,lee kang-in,FW
42,Cucho Hernández,cucho hernandez,FW
43,Roger Martí,roger marti,FW
44,Raúl García,raul garcía,FW
45,Borja Iglesias,borja iglesias,FW
